Feature,Importance,Importance_%
Previous_Fraudulent_Transactions,0.40325415,40.32542
Account_Age,0.17664401,17.664402
risk_score,0.10120182,10.120183
step,0.080240026,8.024003
nameOrig_Other,0.078722596,7.8722606
unusual_transaction_amount_flag,0.042480346,4.248035
time_pressure_indicators,0.022559086,2.2559087
merchant_category_code_unknown,0.018766914,1.8766916
handle_verification_status_verified,0.011403405,1.1403406
pin_entry_method_pasted,0.008176979,0.81769794
handle_registration_pattern_recent,0.008101981,0.8101982
fraud_flag,0.0061354074,0.6135408
amount (INR),0.0061214915,0.61214924
handle_to_description_consistency,0.005098306,0.50983065
receiver_account_age,0.0049551567,0.4955157
description_Remote payment assistance,0.0045084036,0.4508404
transaction_amount_vs_sender_history,0.0044572726,0.44572732
isFraud,0.0043412284,0.4341229
handle_typo_analysis_typo_squatting,0.0035205411,0.35205415
authentication_attempt_count,0.0022972918,0.2297292
description_Other,0.0013972553,0.13972555
amount,0.0011197815,0.111978166
app_switching_frequency,0.0007779588,0.07779589
merchant_category_Entertainment,0.0005336041,0.053360417
merchant_category_Transport,0.00046652518,0.046652522
merchant_category_Food,0.00029393518,0.029393522
hour_of_day,0.00018860304,0.018860307
merchant_category_Healthcare,0.00016624432,0.016624434
newbalanceDest,0.00010243255,0.010243256
oldbalanceDest,7.87454e-05,0.00787454
transaction_status_SUCCESS,7.3028656e-05,0.0073028663
sender_age_group_56+,6.504466e-05,0.0065044668
sender_age_group_46-55,6.0420443e-05,0.006042045
receiver_bank_PNB,6.016248e-05,0.006016249
day_of_week_Thursday,5.1745465e-05,0.005174547
sender_state_Rajasthan,4.855431e-05,0.0048554316
oldbalanceOrg,4.77656e-05,0.0047765607
merchant_category_Other,4.3849217e-05,0.004384922
sender_bank_IndusInd,4.3377917e-05,0.0043377923
merchant_category_Shopping,4.271982e-05,0.0042719822
receiver_bank_HDFC,4.1002397e-05,0.00410024
sender_state_Karnataka,4.040258e-05,0.0040402585
receiver_age_group_26-35,3.9676466e-05,0.003967647
transaction type_P2P,3.948591e-05,0.003948591
day_of_week_Monday,3.870642e-05,0.0038706425
receiver_age_group_36-45,3.863338e-05,0.0038633384
merchant_category_Utilities,3.844554e-05,0.0038445545
sender_bank_HDFC,3.8064292e-05,0.0038064297
sender_bank_Yes Bank,3.7443806e-05,0.003744381
sender_bank_Kotak,3.7165846e-05,0.003716585
sender_bank_SBI,3.696925e-05,0.0036969252
type_PAYMENT,3.4724202e-05,0.0034724206
receiver_bank_SBI,3.459657e-05,0.0034596575
sender_state_Maharashtra,3.4173958e-05,0.0034173962
device_type_Web,3.3909673e-05,0.0033909676
receiver_age_group_56+,3.387055e-05,0.0033870554
sender_state_Telangana,3.38182e-05,0.0033818204
sender_state_West Bengal,3.32004e-05,0.0033200402
network_type_4G,3.2891567e-05,0.003289157
sender_bank_ICICI,3.2380784e-05,0.0032380787
merchant_category_Fuel,3.1535597e-05,0.0031535602
